,x,y
432,9.1264,0.80026674
433,9.12785,0.7970233600000001
434,9.1293,0.7991159
435,9.13075,0.80108899
436,9.1322,0.7901994
437,9.13365,0.77754033
438,9.1351,0.77945107
439,9.13655,0.7886137999999999
440,9.138,0.79225367
441,9.13945,0.7916246100000001
442,9.1409,0.7878121100000001
443,9.14235,0.78566784
444,9.1438,0.78896457
445,9.14525,0.7898038
446,9.1467,0.7878409
447,9.14815,0.78018683
448,9.1496,0.77795899
449,9.15105,0.7852785
450,9.1525,0.7845625900000001
451,9.15395,0.77942032
452,9.1554,0.76227659
453,9.15685,0.7377490999999999
454,9.1583,0.72096854
455,9.15975,0.6730125
456,9.161200000000001,0.52118266
457,9.16265,0.27659065
458,9.1641,0.15028152
459,9.16555,0.28836092
460,9.167,0.52530581
461,9.16845,0.67346454
462,9.1699,0.73319989
463,9.17135,0.7558615200000001
464,9.1728,0.74808633
465,9.17425,0.73774284
466,9.1757,0.7546710400000001
467,9.17715,0.7738184300000001
468,9.1786,0.78392309
469,9.18005,0.77945763
470,9.1815,0.75466192
471,9.18295,0.74381006
472,9.1844,0.7650848
473,9.18585,0.78283608
474,9.1873,0.78124684
475,9.18875,0.76670474
476,9.1902,0.71081966
477,9.19165,0.66921175
478,9.1931,0.70938629
479,9.19455,0.7546223400000001
480,9.196,0.76695693
481,9.19745,0.76837265
482,9.1989,0.74402732
483,9.20035,0.71685845
484,9.2018,0.73673314
485,9.20325,0.77485675
486,9.2047,0.78477812
487,9.20615,0.78186685
488,9.2076,0.7558077
489,9.20905,0.69428736
490,9.2105,0.6235095900000001
491,9.21195,0.55978447
492,9.2134,0.57104671
493,9.21485,0.6724214
494,9.2163,0.7454384
495,9.21775,0.72792262
496,9.2192,0.67581189
497,9.22065,0.68752342
498,9.2221,0.74997574
499,9.22355,0.78257585
500,9.225,0.7829056999999999
501,9.22645,0.76902968
502,9.2279,0.71743667
503,9.22935,0.66884536
504,9.2308,0.70209765
505,9.23225,0.76088232
506,9.2337,0.78649187
507,9.23515,0.79199475
508,9.2366,0.77687299
509,9.23805,0.71129465
510,9.2395,0.64921933
511,9.24095,0.68784958
512,9.2424,0.75172836
513,9.24385,0.7653796700000001
514,9.2453,0.74622279
515,9.24675,0.68075335
516,9.2482,0.58725917
517,9.24965,0.5609720300000001
518,9.2511,0.64613855
519,9.25255,0.743536
520,9.254,0.77760202
521,9.25545,0.77631271
522,9.2569,0.76968485
523,9.25835,0.72607231
524,9.2598,0.63907313
525,9.26125,0.63041455
526,9.2627,0.71839964
527,9.26415,0.78145558
528,9.2656,0.79407662
529,9.26705,0.78544945
530,9.2685,0.75648004
531,9.26995,0.6730533200000001
532,9.2714,0.60716391
533,9.27285,0.66640317
534,9.2743,0.7541789999999999
535,9.27575,0.78511614
536,9.2772,0.7857840700000001
537,9.27865,0.77215785
538,9.280100000000001,0.71082813
539,9.28155,0.61362898
540,9.283,0.61585939
541,9.28445,0.70812285
542,9.2859,0.7541909800000001
543,9.28735,0.76246965
544,9.2888,0.77218747
545,9.29025,0.73846054
546,9.2917,0.62102157
547,9.29315,0.51559752
548,9.2946,0.56616473
549,9.29605,0.6960578
550,9.2975,0.75293404
551,9.29895,0.74926817
552,9.3004,0.72318023
553,9.30185,0.66378444
554,9.3033,0.5572856700000001
555,9.30475,0.37626234000000003
556,9.3062,0.18246546
557,9.30765,0.15546116000000001
558,9.3091,0.33883607
559,9.31055,0.55691528
560,9.312,0.68186128
561,9.31345,0.7277677100000001
562,9.3149,0.69462717
563,9.31635,0.59510094
564,9.3178,0.57509255
565,9.31925,0.66272223
566,9.3207,0.66222095
567,9.32215,0.54949576
568,9.3236,0.53773475
569,9.32505,0.6562165
570,9.3265,0.7192406100000001
571,9.32795,0.65483505
572,9.3294,0.59769225
573,9.33085,0.65912074
574,9.3323,0.73884976
575,9.33375,0.76751631
576,9.3352,0.7783578
577,9.33665,0.77490205
578,9.3381,0.75886959
579,9.33955,0.70147419
580,9.341,0.61900401
581,9.34245,0.62397528
582,9.3439,0.70371777
583,9.34535,0.74494129
584,9.3468,0.75128931
585,9.34825,0.76257122
586,9.3497,0.7642183300000001
587,9.35115,0.73465902
588,9.3526,0.6567229
589,9.35405,0.5810012800000001
590,9.3555,0.59334159
591,9.35695,0.6476322999999999
592,9.3584,0.6820537999999999
593,9.35985,0.69964504
594,9.3613,0.69167495
595,9.36275,0.69255215
596,9.3642,0.68761605
597,9.36565,0.61121976
598,9.3671,0.54768533
599,9.36855,0.58776641
600,9.37,0.64944273
